date,symbol,open,high,low,close,volume,avg_spread,ticks
2026-02-05,TSLA,406.58,406.58,387.55,390.28,1157748,0.7546564163631255,28601
2026-02-06,GOOGL,327.44,330.36,319.97,322.55,1900587,0.40791564596868696,28224
2026-02-06,MSFT,400.18,402.21,392.95,401.7,1697035,0.4831763701241272,33077
2026-02-06,QQQ,598.03,611.38,598.03,608.66,1174555,0.03724094539884003,18280
2026-02-06,SPY,680.29,692.3,680.29,689.9,2881506,0.015161365671350723,51384
2026-02-06,TSLA,403.0,414.55,397.8,411.68,938900,1.7866301159694957,22162
2026-02-09,GOOGL,322.29,327.69,317.29,324.98,1301845,0.20086453894278752,22142
2026-02-09,MSFT,403.5,414.88,400.88,413.75,2194778,0.3087294983838139,33482
2026-02-09,QQQ,610.17,616.46,605.15,614.96,1625217,0.022025829983624012,26872
2026-02-09,SPY,691.47,695.855,688.38,693.58,1441729,0.020078259868799752,26082
2026-02-09,TSLA,411.33,421.25,407.36,418.14,740851,0.9537529703754549,18946
2026-02-10,GOOGL,322.47,323.24,314.625,318.51,947369,0.16878861895959896,15222
2026-02-10,MSFT,414.77,423.665,412.72,414.1,1994635,0.7500225553933934,22797
2026-02-10,QQQ,615.15,617.02,611.015,612.27,1485807,0.021906904149835083,21785
2026-02-10,SPY,695.0,696.53,691.66,692.97,1431737,0.019981557107099902,22776
2026-02-10,TSLA,419.09,427.22,417.0,425.55,968124,0.6540839313289133,22234
2026-02-11,GOOGL,318.8,321.13,309.66,311.79,1171329,0.3198431753167145,19643
2026-02-11,MSFT,414.04,417.75,401.03,405.1,1276632,0.4892386395709847,28382
2026-02-11,QQQ,611.6,617.5,607.72,613.16,934836,0.17009276034495274,13812
2026-02-11,SPY,693.2,697.13,689.22,692.57,1460820,0.025057658450704415,22736
2026-02-11,TSLA,424.65,436.35,420.07,427.6,1036067,0.3378983237385713,23689
2026-02-12,GOOGL,312.21,316.19,307.48,309.34,1214480,0.4734628773611822,17545
2026-02-12,MSFT,405.84,406.44,398.02,402.22,1214009,0.8044352702913243,25697
2026-02-12,QQQ,614.73,616.49,599.58,600.5,1202072,0.03908827785817658,17972
2026-02-12,SPY,694.43,695.34,680.37,682.58,2436391,0.022580883156628814,36606
2026-02-12,TSLA,429.66,436.19,414.0,416.0,1291392,0.515001368363437,29239
2026-02-13,GOOGL,307.12,309.36,303.8,305.8,1150327,0.6827114565981847,16243
2026-02-13,MSFT,401.85,405.5,398.07,400.17,1014664,0.800540908877296,21379
2026-02-13,QQQ,600.48,606.47,596.43,601.16,1824806,0.15016782673214843,28351
2026-02-13,SPY,679.54,686.27,677.53,681.6,2340438,0.033652286384090735,37141
2026-02-13,TSLA,413.5,424.04,410.89,417.01,1054102,18.843768003905932,24657
2026-02-17,GOOGL,301.0,304.38,296.26,301.0,1121158,0.3555145527051955,16817
2026-02-17,MSFT,398.58,400.5,394.55,396.4,883077,0.7639263715110696,20815
2026-02-17,QQQ,595.89,603.95,593.36,600.85,895724,0.0612674680691212,13367
2026-02-17,SPY,678.34,684.92,675.78,682.58,1505538,0.03838500123345118,24350
2026-02-17,TSLA,412.5,413.69,400.52,409.19,1012013,0.48408518639633746,24489
2026-02-18,GOOGL,303.5,305.38,301.25,303.66,794732,0.40544983909332605,14330
2026-02-18,MSFT,399.5,402.53,396.36,400.7,571411,0.2926135611575724,16668
2026-02-18,QQQ,604.18,609.77,600.74,606.09,1754133,0.022402575048196014,29055
2026-02-18,SPY,685.32,689.14,682.83,685.87,2419991,0.016508240891326697,41199
2026-02-18,TSLA,412.16,416.875,409.58,410.79,580856,0.5824446549070686,16951
2026-02-19,GOOGL,302.01,305.455,300.03,303.09,1235395,0.35090878883535515,12086
2026-02-19,MSFT,400.09,404.38,396.67,398.45,863733,0.6610232897410516,19197
2026-02-19,QQQ,603.69,605.81,600.77,603.74,950208,0.029610129956681074,15011
2026-02-19,SPY,686.1,686.135,681.56,684.8,2226033,0.01645658693239446,42350
2026-02-19,TSLA,407.7,415.22,404.195,411.09,958645,0.27447394658130925,19058
2026-02-20,GOOGL,306.08,316.5,303.85,314.98,1161623,0.38675866050808294,17356
2026-02-20,MSFT,397.67,400.11,395.24,397.25,1040455,0.3637737207726187,23720
2026-02-20,QQQ,603.11,610.32,599.29,608.88,1160100,0.04586231331080334,18351
2026-02-20,SPY,684.2,690.06,681.81,689.42,2200208,0.030658088520269862,38711
2026-02-20,TSLA,411.26,414.655,405.52,411.0,932687,0.28883977631898855,20582
2026-02-23,GOOGL,316.46,319.51,309.87,312.25,795532,0.4291465204294431,12981
2026-02-23,MSFT,395.27,395.84,383.11,385.1,1384948,0.24002548311743443,33082
2026-02-23,QQQ,606.1,608.0,599.08,602.08,1094875,0.03108609983281609,16749
2026-02-23,SPY,687.89,690.0,680.385,682.79,1896926,0.022578828030893092,28227
2026-02-23,TSLA,407.9,407.97,394.05,399.3,1518495,0.32966166012946757,31425
2026-02-24,GOOGL,311.76,312.61,305.98,310.77,593194,0.2704921059920604,10863
2026-02-24,MSFT,384.61,389.34,381.76,388.3,963198,0.30466840168715814,22309
2026-02-24,QQQ,602.74,608.99,599.785,608.21,1185507,0.029433904056764406,19456
2026-02-24,SPY,683.58,688.34,680.0,687.03,1700357,0.02091062147719777,27338
2026-02-24,TSLA,397.12,410.81,397.12,409.05,1076481,0.25610859136502345,22980
2026-02-25,GOOGL,312.51,313.635,309.44,313.0,830751,0.31195100750691346,12671
2026-02-25,MSFT,389.7,401.3,389.7,398.5,1500799,0.2665973663039333,23726
2026-02-25,QQQ,609.25,618.92,609.25,614.26,1106541,0.02324654956085327,16007
2026-02-25,SPY,688.2,695.07,688.2,694.5,1094943,0.01861358313817173,17114
2026-02-25,TSLA,409.21,420.32,409.21,414.81,1098711,0.21514586386039644,22561
2026-02-26,GOOGL,311.47,314.17,302.36,307.63,706979,0.2816182804275002,12590
2026-02-26,MSFT,400.3,407.49,394.05,396.5,1282068,0.8715378489395605,23924
2026-02-26,QQQ,616.25,617.31,603.99,607.86,2042185,0.025011059371361898,34393
2026-02-26,SPY,692.6,694.08,684.37,687.6,1481381,0.28276673212240294,24450
2026-02-26,TSLA,415.2,416.77,403.76,407.54,1120041,0.28979518689196015,21526
